Ngày bán,Tên món gốc,Size,Số lượng,Doanh thu
11/08/2026,cam dou qua sua chua dau tay,Không ghi rõ,1,5000
11/08/2026,doi tt qua luc đb,Không ghi rõ,1,3000
11/08/2026,tranchauden,Không ghi rõ,1,7000
11/08/2026,trân châu đen,Không ghi rõ,1,7000
10/08/2026,Cà Phê Sữa Đá (Pha Máy),S,178,4134235
10/08/2026,Bạc Sỉu,S,76,2033495
10/08/2026,Cà Phê Đen Đá (Pha Máy),S,48,1030532
10/08/2026,Nước Cam Tươi,S,46,1373108
10/08/2026,Trà Đào,S,33,1155000
10/08/2026,Trà Sữa Kem Trứng Nướng,S,30,1044256
10/08/2026,Trà Đào Cam Sả,S,27,945000
10/08/2026,Cafe Muối,S,25,700000
10/08/2026,Trà Tắc Xí Muội,S,23,677449
10/08/2026,Oolong Sen Nhãn Lá Nếp,S,23,801649
10/08/2026,Olong Sen Nhãn,S,23,805000
10/08/2026,Olong Lài Sữa Trân Châu,S,23,736000
10/08/2026,Olong Mơ Thanh Mai,S,23,805000
10/08/2026,Trà Vải Lài,S,23,805000
10/08/2026,Trà Tắc Thái Xanh,S,22,660000
10/08/2026,Xiên Cá Viên Chiên,Không ghi rõ,21,396170
10/08/2026,Trà Sữa Fulltopping,S,20,665000
10/08/2026,Matcha Latte Oatside,S,20,690075
10/08/2026,Trà Dứa Đác Rim,S,20,696557
10/08/2026,Sữa Chua Việt Quât,S,20,640000
10/08/2026,Trà Sữa Truyền Thống Trân Châu,S,18,576000
10/08/2026,Sữa Chua Xoài Thơm Đác,S,16,560000
10/08/2026,Trà Sữa Hạnh Nhân Phomai,S,16,560000
10/08/2026,Trà Ổi Hồng Ngọc Trai,S,15,525000
10/08/2026,Matcha Sen Lài Dừa,S,15,525000
10/08/2026,Matcha Coconut,S,15,521649
10/08/2026,Trà Me Đác Kim Quất,S,14,485930
10/08/2026,Socola Đá Xay,S,14,490000
10/08/2026,Khoai Tây Chiên Lắc Phô Mai,Không ghi rõ,13,390000
10/08/2026,Trà Dưa Lưới Tứ Quý,S,13,455000
10/08/2026,Trà Trái Cây Nhiệt Đới,S,13,455000
10/08/2026,Trà Đào Cam Sả,M,12,528000
10/08/2026,Trà Cam Dâu Đác,S,12,420000
10/08/2026,Sữa Tươi Trân Châu Đường Đen,S,12,420000
10/08/2026,Sữa Tươi Trân Châu Bánh Bò,S,12,420000
10/08/2026,Sữa Chua Dâu Tây,S,12,374925
10/08/2026,Trà Sữa Trân Châu Oreo Dầm,S,11,357254
10/08/2026,Trà Tắc Thái Xanh,M,11,351000
10/08/2026,Khoai Tây Chiên,Không ghi rõ,11,275000
10/08/2026,Bạc Sỉu,M,10,370000
10/08/2026,Matcha Latte Sữa Gấu,S,10,350000
10/08/2026,Matcha Latte Oatside,M,9,352000
10/08/2026,Trà Trái Cây Nhiệt Đới,M,9,396000
10/08/2026,Cafe Muối,M,9,333000
10/08/2026,Xúc Xich Đức Chiên,Không ghi rõ,9,225000
10/08/2026,Xiên Bò Viên Chiên,Không ghi rõ,9,171000
10/08/2026,Trà Sữa Khoai Môn Tươi,M,8,352000
10/08/2026,Trà Sữa Nguyên Lá Bánh Bò,S,8,240000
10/08/2026,Trà Sữa Khoai Môn Tươi,S,8,280000
10/08/2026,Trà Cam Dâu Đác,M,8,333592
10/08/2026,Trà Me Đác Kim Quất,M,8,352000
10/08/2026,Cà Phê Sữa Đá (Pha Máy),M,7,212000
10/08/2026,Cà Phê Đen Đá (Pha Máy),M,7,217000
10/08/2026,Olong Lài Sữa Trân Châu,M,7,287000
10/08/2026,Sữa Chua Việt Quât,M,7,287000
10/08/2026,Trà Sữa Fulltopping,M,6,220000
10/08/2026,Trà Ổi Hồng Ngọc Trai,M,6,264000
10/08/2026,Trà Tắc Xí Muội,M,6,234000
10/08/2026,Trà Sữa Nguyên Lá Bánh Bò,M,6,246000
10/08/2026,Trà Dứa Đác Rim,M,6,264000
10/08/2026,Topping Trân Châu Đen,Không ghi rõ,6,42000
10/08/2026,Topping Trân Châu Ngọc Trai,Không ghi rõ,6,42000
10/08/2026,Matcha Latte Sữa Gấu,M,6,264000
10/08/2026,Matcha Đá Xay,S,6,210000
10/08/2026,Olong Sen Nhãn,M,6,264000
10/08/2026,Olong Mơ Thanh Mai,M,6,264000
10/08/2026,Cà Phê Phindi Hạnh Nhân,S,6,210000
10/08/2026,Xiên Há Cảo Chiên,Không ghi rõ,5,95000
10/08/2026,Topping Khúc Bạch Phomai,Không ghi rõ,5,35000
10/08/2026,Cà Phê Phindi Hạnh Nhân,M,5,220000
10/08/2026,Xiên Hồ Lô Chiên,Không ghi rõ,5,125000
10/08/2026,Việt Quất Đá Xay,S,5,175000
10/08/2026,Matcha Coconut,M,5,220000
10/08/2026,Sữa Chua Dâu Tây,M,4,164000
10/08/2026,Oolong Sen Nhãn Lá Nếp,M,4,176000
10/08/2026,Trà Sữa Hạnh Nhân Phomai,M,4,176000
10/08/2026,Cà Phê Phindi Caramel,S,4,140000
10/08/2026,Topping Trân Châu Bánh Bò,Không ghi rõ,4,28000
10/08/2026,Topping Hạt Đác,Không ghi rõ,4,28000
10/08/2026,Bạc Sỉu,L,3,127672
10/08/2026,Trà Sữa Truyền Thống Trân Châu,M,3,123000
10/08/2026,Trà Đào,L,3,153000
10/08/2026,Xiên Tôm Viên Chiên,Không ghi rõ,3,57000
10/08/2026,Trà Vải Lài,M,3,132000
10/08/2026,Trà Đào Cam Sả,L,3,153000
10/08/2026,Trà Sữa Trân Châu Oreo Dầm,M,3,132000
10/08/2026,Trà Sữa Hạnh Nhân Phomai,L,3,153000
10/08/2026,Sữa Chua Việt Quât,L,3,144000
10/08/2026,Sữa Tươi Trân Châu Đường Đen,M,3,132000
10/08/2026,Sữa Chua Xoài Thơm Đác,M,3,132000
10/08/2026,Olong Sen Nhãn,L,3,153000
10/08/2026,Oolong Sen Nhãn Lá Nếp,L,3,153000
10/08/2026,Trà Dưa Lưới Tứ Quý,M,3,132000
10/08/2026,Cafe Muối,L,2,88000
10/08/2026,Matcha Sen Lài Dừa,M,2,88000
10/08/2026,Cà Phê Phindi Caramel,M,2,88000
10/08/2026,Nước Cam Tươi,L,2,92000
10/08/2026,Pho Mai Que Chiên,Không ghi rõ,2,38000
10/08/2026,Sữa Chua Xoài Thơm Đác,L,2,102000
10/08/2026,Sữa Tươi Trân Châu Bánh Bò,M,2,88000
10/08/2026,Trà Sữa Kem Dẻo Phô Mai,M,2,73558
10/08/2026,Trà Trái Cây Nhiệt Đới,L,2,102000
10/08/2026,Trà Đào,M,2,88000
10/08/2026,Việt Quất Đá Xay,M,2,88000
10/08/2026,Olong Mơ Thanh Mai,L,2,102000
10/08/2026,Trà Dưa Lưới Tứ Quý,L,2,96070
10/08/2026,Trà Sữa Kem Trứng Nướng,M,2,88000
10/08/2026,Trà Sữa Khoai Môn Tươi,L,2,102000
10/08/2026,Matcha Latte Sữa Gấu,L,2,102000
10/08/2026,Olong Lài Sữa Trân Châu,L,2,96000
10/08/2026,Matcha Coconut,L,1,51000
10/08/2026,Cà Phê Sữa Đá (Pha Máy),L,1,40000
10/08/2026,Socola Đá Xay,M,1,33892
10/08/2026,Cà Phê Đen Đá (Pha Máy),L,1,38000
10/08/2026,Nước Cam Tươi,M,1,39000
10/08/2026,Matcha Đá Xay,M,1,44000
10/08/2026,Topping Pudding Trứng,Không ghi rõ,1,7000
10/08/2026,Topping Kem Muối,Không ghi rõ,1,7000
10/08/2026,Sữa Tươi Trân Châu Đường Đen,L,1,51000
10/08/2026,Socola Đá Xay,L,1,44302
10/08/2026,Trà Sữa Trân Châu Oreo Dầm,L,1,42630
10/08/2026,Trà Cam Dâu Đác,L,1,51000
10/08/2026,Topping Đào Ngâm,Không ghi rõ,1,7000
10/08/2026,Trà Dứa Đác Rim,L,1,51000
10/08/2026,Trà Tắc Thái Xanh,L,1,46000
10/08/2026,Trà Vải Lài,L,1,51000
10/08/2026,Trà Ổi Hồng Ngọc Trai,L,1,51000
10/08/2026,ai,Không ghi rõ,1,11000
10/08/2026,cam dou qua sua chua dau tay,Không ghi rõ,1,5000
10/08/2026,doi tt qua luc đb,Không ghi rõ,1,3000
10/08/2026,tranchauden,Không ghi rõ,1,7000
10/08/2026,trân châu đen,Không ghi rõ,1,7000
09/08/2026,Cà Phê Sữa Đá (Pha Máy),S,178,4134235
09/08/2026,Bạc Sỉu,S,76,2033495
09/08/2026,Cà Phê Đen Đá (Pha Máy),S,48,1030532
09/08/2026,Nước Cam Tươi,S,46,1373108
09/08/2026,Trà Đào,S,33,1155000
09/08/2026,Trà Sữa Kem Trứng Nướng,S,30,1044256
09/08/2026,Trà Đào Cam Sả,S,27,945000
09/08/2026,Cafe Muối,S,25,700000
09/08/2026,Trà Tắc Xí Muội,S,23,677449
09/08/2026,Oolong Sen Nhãn Lá Nếp,S,23,801649
09/08/2026,Olong Sen Nhãn,S,23,805000
09/08/2026,Olong Lài Sữa Trân Châu,S,23,736000
09/08/2026,Olong Mơ Thanh Mai,S,23,805000
09/08/2026,Trà Vải Lài,S,23,805000
09/08/2026,Trà Tắc Thái Xanh,S,22,660000
09/08/2026,Xiên Cá Viên Chiên,Không ghi rõ,21,396170
09/08/2026,Trà Sữa Fulltopping,S,20,665000
09/08/2026,Matcha Latte Oatside,S,20,690075
09/08/2026,Trà Dứa Đác Rim,S,20,696557
09/08/2026,Sữa Chua Việt Quât,S,20,640000
09/08/2026,Trà Sữa Truyền Thống Trân Châu,S,18,576000
09/08/2026,Sữa Chua Xoài Thơm Đác,S,16,560000
09/08/2026,Trà Sữa Hạnh Nhân Phomai,S,16,560000
09/08/2026,Trà Ổi Hồng Ngọc Trai,S,15,525000
09/08/2026,Matcha Sen Lài Dừa,S,15,525000
09/08/2026,Matcha Coconut,S,15,521649
09/08/2026,Trà Me Đác Kim Quất,S,14,485930
09/08/2026,Socola Đá Xay,S,14,490000
09/08/2026,Khoai Tây Chiên Lắc Phô Mai,Không ghi rõ,13,390000
09/08/2026,Trà Dưa Lưới Tứ Quý,S,13,455000
09/08/2026,Trà Trái Cây Nhiệt Đới,S,13,455000
09/08/2026,Trà Đào Cam Sả,M,12,528000
09/08/2026,Trà Cam Dâu Đác,S,12,420000
09/08/2026,Sữa Tươi Trân Châu Đường Đen,S,12,420000
09/08/2026,Sữa Tươi Trân Châu Bánh Bò,S,12,420000
09/08/2026,Sữa Chua Dâu Tây,S,12,374925
09/08/2026,Trà Sữa Trân Châu Oreo Dầm,S,11,357254
09/08/2026,Trà Tắc Thái Xanh,M,11,351000
09/08/2026,Khoai Tây Chiên,Không ghi rõ,11,275000
09/08/2026,Bạc Sỉu,M,10,370000
09/08/2026,Matcha Latte Sữa Gấu,S,10,350000
09/08/2026,Matcha Latte Oatside,M,9,352000
09/08/2026,Trà Trái Cây Nhiệt Đới,M,9,396000
09/08/2026,Cafe Muối,M,9,333000
09/08/2026,Xúc Xich Đức Chiên,Không ghi rõ,9,225000
09/08/2026,Xiên Bò Viên Chiên,Không ghi rõ,9,171000
09/08/2026,Trà Sữa Khoai Môn Tươi,M,8,352000
09/08/2026,Trà Sữa Nguyên Lá Bánh Bò,S,8,240000
09/08/2026,Trà Sữa Khoai Môn Tươi,S,8,280000
09/08/2026,Trà Cam Dâu Đác,M,8,333592
09/08/2026,Trà Me Đác Kim Quất,M,8,352000
09/08/2026,Cà Phê Sữa Đá (Pha Máy),M,7,212000
09/08/2026,Cà Phê Đen Đá (Pha Máy),M,7,217000
09/08/2026,Olong Lài Sữa Trân Châu,M,7,287000
09/08/2026,Sữa Chua Việt Quât,M,7,287000
09/08/2026,Trà Sữa Fulltopping,M,6,220000
09/08/2026,Trà Ổi Hồng Ngọc Trai,M,6,264000
09/08/2026,Trà Tắc Xí Muội,M,6,234000
09/08/2026,Trà Sữa Nguyên Lá Bánh Bò,M,6,246000
09/08/2026,Trà Dứa Đác Rim,M,6,264000
09/08/2026,Topping Trân Châu Đen,Không ghi rõ,6,42000
09/08/2026,Topping Trân Châu Ngọc Trai,Không ghi rõ,6,42000
09/08/2026,Matcha Latte Sữa Gấu,M,6,264000
09/08/2026,Matcha Đá Xay,S,6,210000
09/08/2026,Olong Sen Nhãn,M,6,264000
09/08/2026,Olong Mơ Thanh Mai,M,6,264000
09/08/2026,Cà Phê Phindi Hạnh Nhân,S,6,210000
09/08/2026,Xiên Há Cảo Chiên,Không ghi rõ,5,95000
09/08/2026,Topping Khúc Bạch Phomai,Không ghi rõ,5,35000
09/08/2026,Cà Phê Phindi Hạnh Nhân,M,5,220000
09/08/2026,Xiên Hồ Lô Chiên,Không ghi rõ,5,125000
09/08/2026,Việt Quất Đá Xay,S,5,175000
09/08/2026,Matcha Coconut,M,5,220000
09/08/2026,Sữa Chua Dâu Tây,M,4,164000
09/08/2026,Oolong Sen Nhãn Lá Nếp,M,4,176000
09/08/2026,Trà Sữa Hạnh Nhân Phomai,M,4,176000
09/08/2026,Cà Phê Phindi Caramel,S,4,140000
09/08/2026,Topping Trân Châu Bánh Bò,Không ghi rõ,4,28000
09/08/2026,Topping Hạt Đác,Không ghi rõ,4,28000
09/08/2026,Bạc Sỉu,L,3,127672
09/08/2026,Trà Sữa Truyền Thống Trân Châu,M,3,123000
09/08/2026,Trà Đào,L,3,153000
09/08/2026,Xiên Tôm Viên Chiên,Không ghi rõ,3,57000
09/08/2026,Trà Vải Lài,M,3,132000
09/08/2026,Trà Đào Cam Sả,L,3,153000
09/08/2026,Trà Sữa Trân Châu Oreo Dầm,M,3,132000
09/08/2026,Trà Sữa Hạnh Nhân Phomai,L,3,153000
09/08/2026,Sữa Chua Việt Quât,L,3,144000
09/08/2026,Sữa Tươi Trân Châu Đường Đen,M,3,132000
09/08/2026,Sữa Chua Xoài Thơm Đác,M,3,132000
09/08/2026,Olong Sen Nhãn,L,3,153000
09/08/2026,Oolong Sen Nhãn Lá Nếp,L,3,153000
09/08/2026,Trà Dưa Lưới Tứ Quý,M,3,132000
09/08/2026,Cafe Muối,L,2,88000
09/08/2026,Matcha Sen Lài Dừa,M,2,88000
09/08/2026,Cà Phê Phindi Caramel,M,2,88000
09/08/2026,Nước Cam Tươi,L,2,92000
09/08/2026,Pho Mai Que Chiên,Không ghi rõ,2,38000
09/08/2026,Sữa Chua Xoài Thơm Đác,L,2,102000
09/08/2026,Sữa Tươi Trân Châu Bánh Bò,M,2,88000
09/08/2026,Trà Sữa Kem Dẻo Phô Mai,M,2,73558
09/08/2026,Trà Trái Cây Nhiệt Đới,L,2,102000
09/08/2026,Trà Đào,M,2,88000
09/08/2026,Việt Quất Đá Xay,M,2,88000
09/08/2026,Olong Mơ Thanh Mai,L,2,102000
09/08/2026,Trà Dưa Lưới Tứ Quý,L,2,96070
09/08/2026,Trà Sữa Kem Trứng Nướng,M,2,88000
09/08/2026,Trà Sữa Khoai Môn Tươi,L,2,102000
09/08/2026,Matcha Latte Sữa Gấu,L,2,102000
09/08/2026,Olong Lài Sữa Trân Châu,L,2,96000
09/08/2026,Matcha Coconut,L,1,51000
09/08/2026,Cà Phê Sữa Đá (Pha Máy),L,1,40000
09/08/2026,Socola Đá Xay,M,1,33892
09/08/2026,Cà Phê Đen Đá (Pha Máy),L,1,38000
09/08/2026,Nước Cam Tươi,M,1,39000
09/08/2026,Matcha Đá Xay,M,1,44000
09/08/2026,Topping Pudding Trứng,Không ghi rõ,1,7000
09/08/2026,Topping Kem Muối,Không ghi rõ,1,7000
09/08/2026,Sữa Tươi Trân Châu Đường Đen,L,1,51000
09/08/2026,Socola Đá Xay,L,1,44302
09/08/2026,Trà Sữa Trân Châu Oreo Dầm,L,1,42630
09/08/2026,Trà Cam Dâu Đác,L,1,51000
09/08/2026,Topping Đào Ngâm,Không ghi rõ,1,7000
09/08/2026,Trà Dứa Đác Rim,L,1,51000
09/08/2026,Trà Tắc Thái Xanh,L,1,46000
09/08/2026,Trà Vải Lài,L,1,51000
09/08/2026,Trà Ổi Hồng Ngọc Trai,L,1,51000
09/08/2026,ai,Không ghi rõ,1,11000
09/08/2026,cam dou qua sua chua dau tay,Không ghi rõ,1,5000
09/08/2026,doi tt qua luc đb,Không ghi rõ,1,3000
09/08/2026,tranchauden,Không ghi rõ,1,7000
09/08/2026,trân châu đen,Không ghi rõ,1,7000
01/08/2026,Cà Phê Sữa Đá (Pha Máy),S,178,4134235
01/08/2026,Bạc Sỉu,S,76,2033495
01/08/2026,Cà Phê Đen Đá (Pha Máy),S,48,1030532
01/08/2026,Nước Cam Tươi,S,46,1373108
01/08/2026,Trà Đào,S,33,1155000
01/08/2026,Trà Sữa Kem Trứng Nướng,S,30,1044256
01/08/2026,Trà Đào Cam Sả,S,27,945000
01/08/2026,Cafe Muối,S,25,700000
01/08/2026,Trà Tắc Xí Muội,S,23,677449
01/08/2026,Oolong Sen Nhãn Lá Nếp,S,23,801649
01/08/2026,Olong Sen Nhãn,S,23,805000
01/08/2026,Olong Lài Sữa Trân Châu,S,23,736000
01/08/2026,Olong Mơ Thanh Mai,S,23,805000
01/08/2026,Trà Vải Lài,S,23,805000
01/08/2026,Trà Tắc Thái Xanh,S,22,660000
01/08/2026,Xiên Cá Viên Chiên,Không ghi rõ,21,396170
01/08/2026,Trà Sữa Fulltopping,S,20,665000
01/08/2026,Matcha Latte Oatside,S,20,690075
01/08/2026,Trà Dứa Đác Rim,S,20,696557
01/08/2026,Sữa Chua Việt Quât,S,20,640000
01/08/2026,Trà Sữa Truyền Thống Trân Châu,S,18,576000
01/08/2026,Sữa Chua Xoài Thơm Đác,S,16,560000
01/08/2026,Trà Sữa Hạnh Nhân Phomai,S,16,560000
01/08/2026,Trà Ổi Hồng Ngọc Trai,S,15,525000
01/08/2026,Matcha Sen Lài Dừa,S,15,525000
01/08/2026,Matcha Coconut,S,15,521649
01/08/2026,Trà Me Đác Kim Quất,S,14,485930
01/08/2026,Socola Đá Xay,S,14,490000
01/08/2026,Khoai Tây Chiên Lắc Phô Mai,Không ghi rõ,13,390000
01/08/2026,Trà Dưa Lưới Tứ Quý,S,13,455000
01/08/2026,Trà Trái Cây Nhiệt Đới,S,13,455000
01/08/2026,Trà Đào Cam Sả,M,12,528000
01/08/2026,Trà Cam Dâu Đác,S,12,420000
01/08/2026,Sữa Tươi Trân Châu Đường Đen,S,12,420000
01/08/2026,Sữa Tươi Trân Châu Bánh Bò,S,12,420000
01/08/2026,Sữa Chua Dâu Tây,S,12,374925
01/08/2026,Trà Sữa Trân Châu Oreo Dầm,S,11,357254
01/08/2026,Trà Tắc Thái Xanh,M,11,351000
01/08/2026,Khoai Tây Chiên,Không ghi rõ,11,275000
01/08/2026,Bạc Sỉu,M,10,370000
01/08/2026,Matcha Latte Sữa Gấu,S,10,350000
01/08/2026,Matcha Latte Oatside,M,9,352000
01/08/2026,Trà Trái Cây Nhiệt Đới,M,9,396000
01/08/2026,Cafe Muối,M,9,333000
01/08/2026,Xúc Xich Đức Chiên,Không ghi rõ,9,225000
01/08/2026,Xiên Bò Viên Chiên,Không ghi rõ,9,171000
01/08/2026,Trà Sữa Khoai Môn Tươi,M,8,352000
01/08/2026,Trà Sữa Nguyên Lá Bánh Bò,S,8,240000
01/08/2026,Trà Sữa Khoai Môn Tươi,S,8,280000
01/08/2026,Trà Cam Dâu Đác,M,8,333592
01/08/2026,Trà Me Đác Kim Quất,M,8,352000
01/08/2026,Cà Phê Sữa Đá (Pha Máy),M,7,212000
01/08/2026,Cà Phê Đen Đá (Pha Máy),M,7,217000
01/08/2026,Olong Lài Sữa Trân Châu,M,7,287000
01/08/2026,Sữa Chua Việt Quât,M,7,287000
01/08/2026,Trà Sữa Fulltopping,M,6,220000
01/08/2026,Trà Ổi Hồng Ngọc Trai,M,6,264000
01/08/2026,Trà Tắc Xí Muội,M,6,234000
01/08/2026,Trà Sữa Nguyên Lá Bánh Bò,M,6,246000
01/08/2026,Trà Dứa Đác Rim,M,6,264000
